image,image_path,image_exists,image_number,internal_key,card_type_zh,zh_name,zh_description,zh_flavor,zh_extra_texts,en_name,en_description,en_flavor,source_name_key,source_name_hash,source_name_zh_row,source_name_en_row,source_description_key,source_description_hash,source_description_zh_row,source_description_en_row,source_flavor_key,source_flavor_hash,source_flavor_zh_row,source_flavor_en_row,mapping_evidence,notes
ab001.png,card_images_full/ab001.png,是,1,ActionCard_001,行动牌,游说,选择任意其他玩家：-{1}&。,真相是精心编造的谎言。,,Propaganda,Choose any other player: -{1}&.,A truth is a well-financed lie.,ActionCard_001_Caption,0501594b7bbbbfe8,89,256,ActionCard_001_Description,06012e477bbbbfc8,90,257,ActionCard_001_FlavorText,070148e37cbbbfd8,91,258,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab002.png,card_images_full/ab002.png,是,2,ActionCard_002,行动牌,言而无信,+{1}次额外的走牌。,"“你很诚实还是很聪明？”
——某公关公司求职申请表的问题",,Spinning the truth,+{1} extra turn.,"""Are you honest or are you smart?"" – one of the opening questions on the job application form of a successful PR agency.",ActionCard_002_Caption,090105937dbbbfa8,93,259,ActionCard_002_Description,0a01273e7dbbbfb8,94,260,ActionCard_002_FlavorText,0b01860f7ebbbff8,95,261,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab003.png,card_images_full/ab003.png,是,3,ActionCard_003,行动牌,办公楼一日,"获得|。
你可以再使用一张卡牌。",客户永远是对的，直到他们的钱花光了。,,A day at the office,Get |. You can play another card.,The client is always right – until their money runs out.,ActionCard_003_Caption,0d0179db7fbbbfc8,96,262,ActionCard_003_Description,0e013e437fbbbfe8,97,263,ActionCard_003_FlavorText,0f01783180bbbfd8,98,264,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab004.png,card_images_full/ab004.png,是,4,ActionCard_004,行动牌,自主选购,"从整副牌中抽取{1}张卡牌。
保留1张，丢弃其余卡牌。","“该去哪去哪，该拿啥拿啥”
——那个谁给那个谁（你懂的）下了一道命令",,Custom order,"Draw {1} cards from the deck. Keep 1, discard the rest.","""Go you-know-where and get you-know-what"" – an order from You-know-who to You-know-whom.",ActionCard_004_Caption,1101dc4581bbbff8,99,265,ActionCard_004_Description,1201641682bbbff8,100,266,ActionCard_004_FlavorText,13018d2882bbbfc8,101,267,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab005.png,card_images_full/ab005.png,是,5,ActionCard_005,行动牌,划算买卖,,签合同之前，请再三确认是你在昧着良心欺骗合作伙伴，而且合作伙伴没有昧着良心欺骗你。,,A good deal,,"Before you sign any contract, double check that it is you who is the deceiving party to the agreement and not the other way around.",ActionCard_005_Caption,15015ee083bbbff8,103,268,ActionCard_005_Description,170110a584bbbfe8,,270,ActionCard_005_FlavorText,1601409e84bbbfb8,104,269,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab006.png,card_images_full/ab006.png,是,6,ActionCard_006,行动牌,外快,,小魔怪通常很擅长赚外快，因为这类收入不用交税。不过话说回来，“外快”赚得又不快，为啥要叫“外快”呢？,,A moonlight job,,Gremlins are usually pretty good at moonlight jobs since they don't pay any taxes on such activities. It's odd that a job like that is sometimes called 'an odd job'.,ActionCard_006_Caption,190116ec85bbbff8,105,271,ActionCard_006_Description,1b01fa5e86bbbfe8,,273,ActionCard_006_FlavorText,1a013f2e86bbbff8,106,272,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab007.png,card_images_full/ab007.png,是,7,ActionCard_007,行动牌,大善人,,金钱本无味，如果你的大善人给它狂喷古龙香水，金钱就会散发铜臭味了。,,A benefactor,,The money does not stink (unless your benefactor uses too much cologne).,ActionCard_007_Caption,1d01312f87bbbfe8,107,274,ActionCard_007_Description,1f01071689bbbfb8,,276,ActionCard_007_FlavorText,1e01d25c88bbbfe8,108,275,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab008.png,card_images_full/ab008.png,是,8,ActionCard_008,行动牌,伪善法警,"选择任意玩家。
该玩家给你{1}$。",一个社会，只有当强盗不再是匪徒，而是受人敬仰的掌权者时，才堪称“文明社会”。,,A friendly bailiff,Choose any player: they give you {1}$.,"A society can be characterized as truly civilized if the robbers are not bandits, but rather respectable persons in the positions of authority.",ActionCard_008_Caption,210168e889bbbfb8,109,277,ActionCard_008_Description,22012ae08abbbfa8,110,278,ActionCard_008_FlavorText,2301701c8bbbbfb8,111,279,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab009.png,card_images_full/ab009.png,是,9,ActionCard_009,行动牌,推销,,质量算什么？宣传才是王道。,,Advertising,,Quality is nothing. Advertising is everything.,ActionCard_009_Caption,2501efb68bbbbfe8,113,280,ActionCard_009_Description,27018bb68dbbbff8,,282,ActionCard_009_FlavorText,2601e5528cbbbff8,114,281,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab010.png,card_images_full/ab010.png,是,10,ActionCard_010,行动牌,削弱竞争,"选择任意玩家。
该玩家给你{1}*。",身处激烈竞争，当如履薄冰。,,Undercutting the competition,Choose any player: they give you {1}*.,"If you have a lot of competitors, better get used to always checking where you put your feet.",ActionCard_010_Caption,2901b6e88ebbbfe8,115,283,ActionCard_010_Description,2a0111a38ebbbfb8,116,284,ActionCard_010_FlavorText,2b01d9d58fbbbfa8,117,285,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab011.png,card_images_full/ab011.png,是,11,ActionCard_011,行动牌,重新分配,"其他每个玩家给你{1}$并失去{2}^。 
如果你的金币最少，则收获翻倍。",最有才华的演员往往在慈善机构工作，而非剧院。,,Fundraising,"Every other player: -{2}^, gives you {1}$. If you have the least $, they give you twice as much.","The most talented actors work in charities, not in theatres.",ActionCard_011_Caption,2d01eed590bbbff8,119,286,ActionCard_011_Description,2e01066a90bbbfa8,120,287,ActionCard_011_FlavorText,2f011ffc91bbbfc8,121,288,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
ab012.png,card_images_full/ab012.png,是,12,ActionCard_012,行动牌,奇思妙想,,勤奋是成功之母。不屈从勤奋，则为天分。,,A contraption,,Diligence is the mother of success. What does not bend to the diligence is called nature.,ActionCard_012_Caption,3101583792bbbfa8,122,289,ActionCard_012_Description,320156ce92bbbfc8,,290,ActionCard_012_FlavorText,33010c4e93bbbfd8,123,291,程序集 TAG 完整本地化 ID + resources.assets 完整哈希,
