internal_key,location_groups,evidence,source_card_name,source_cell_id
ActionCard_001,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a001,E0094DE007D78709
ActionCard_002,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a002,E0094DE007D78709
ActionCard_003,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a003,E0094DE007D78709
ActionCard_004,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a004,E0094DE007D78709
ActionCard_005,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a005,E0094DE007D78709
ActionCard_006,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a006,E0094DE007D78709
ActionCard_007,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a007,E0094DE007D78709
ActionCard_008,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a008,E0094DE007D78709
ActionCard_009,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a009,E0094DE007D78709
ActionCard_010,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a010,E0094DE007D78709
ActionCard_011,办公楼,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a011,E0094DE007D78709
ActionCard_012,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a012,A3104DE0070FFA0A
ActionCard_013,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a013,A3104DE0070FFA0A
ActionCard_014,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a014,A3104DE0070FFA0A
ActionCard_015,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a015,A3104DE0070FFA0A
ActionCard_016,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a016,A3104DE0070FFA0A
ActionCard_017,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a017,A3104DE0070FFA0A
ActionCard_018,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a018,A3104DE0070FFA0A
ActionCard_019,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a019,A3104DE0070FFA0A
ActionCard_020,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a020,A3104DE0070FFA0A
ActionCard_021,工厂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a021,A3104DE0070FFA0A
ActionCard_022,赌博,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a022,E1D14CE007F0D903
ActionCard_023,赌博,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a023,E1D14CE007F0D903
ActionCard_024,赌博,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a024,E1D14CE007F0D903
ActionCard_025,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a025,C74C4DE007B1300F
ActionCard_026,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a026,C74C4DE007B1300F
ActionCard_027,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a027,C74C4DE007B1300F
ActionCard_028,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a028,C74C4DE007B1300F
ActionCard_029,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a029,C74C4DE007B1300F
ActionCard_030,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a030,C74C4DE007B1300F
ActionCard_031,赌场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a031,C74C4DE007B1300F
ActionCard_032,演讲,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a032,F4C64CE0074C9102
ActionCard_033,演讲,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a033,F4C64CE0074C9102
ActionCard_034,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a034,D6534DE007B18E10
ActionCard_035,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a035,D6534DE007B18E10
ActionCard_036,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a036,D6534DE007B18E10
ActionCard_037,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a037,D6534DE007B18E10
ActionCard_038,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a038,D6534DE007B18E10
ActionCard_039,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a039,D6534DE007B18E10
ActionCard_040,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a040,D6534DE007B18E10
ActionCard_041,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a041,D6534DE007B18E10
ActionCard_042,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a042,D6534DE007B18E10
ActionCard_043,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a043,D6534DE007B18E10
ActionCard_044,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a044,D6534DE007B18E10
ActionCard_045,法院,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a045,D6534DE007B18E10
ActionCard_046,警察,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a046,C8A84CE0073FA001
ActionCard_047,警察,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a047,C8A84CE0073FA001
ActionCard_048,警察,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a048,C8A84CE0073FA001
ActionCard_049,警察,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a049,C8A84CE0073FA001
ActionCard_050,警察,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a050,C8A84CE0073FA001
ActionCard_051,贿赂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a051,E0E34CE007656E05
ActionCard_052,贿赂,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a052,E0E34CE007656E05
ActionCard_053,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a053,F81A4DE0077AA30B
ActionCard_054,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a054,F81A4DE0077AA30B
ActionCard_055,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a055,F81A4DE0077AA30B
ActionCard_056,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a056,F81A4DE0077AA30B
ActionCard_057,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a057,F81A4DE0077AA30B
ActionCard_058,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a058,F81A4DE0077AA30B
ActionCard_059,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a059,F81A4DE0077AA30B
ActionCard_060,废料场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a060,F81A4DE0077AA30B
ActionCard_061,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a061,B72C4DE00795310C
ActionCard_062,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a062,B72C4DE00795310C
ActionCard_063,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a063,B72C4DE00795310C
ActionCard_064,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a064,B72C4DE00795310C
ActionCard_065,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a065,B72C4DE00795310C
ActionCard_066,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a066,B72C4DE00795310C
ActionCard_067,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a067,B72C4DE00795310C
ActionCard_068,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a068,B72C4DE00795310C
ActionCard_069,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a069,B72C4DE00795310C
ActionCard_070,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a070,B72C4DE00795310C
ActionCard_071,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a071,B72C4DE00795310C
ActionCard_072,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a072,B72C4DE00795310C
ActionCard_073,市场,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a073,B72C4DE00795310C
ActionCard_074,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a074,A45E4DE007706F11
ActionCard_075,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a075,A45E4DE007706F11
ActionCard_076,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a076,A45E4DE007706F11
ActionCard_077,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a077,A45E4DE007706F11
ActionCard_078,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a078,A45E4DE007706F11
ActionCard_079,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a079,A45E4DE007706F11
ActionCard_080,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a080,A45E4DE007706F11
ActionCard_081,藏宝阁,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a081,A45E4DE007706F11
ActionCard_082,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a082,A1024DE007D4D508
ActionCard_083,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a083,A1024DE007D4D508
ActionCard_084,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a084,A1024DE007D4D508
ActionCard_085,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a085,A1024DE007D4D508
ActionCard_086,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a086,A1024DE007D4D508
ActionCard_087,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a087,A1024DE007D4D508
ActionCard_088,银行,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a088,A1024DE007D4D508
ActionCard_089,天界,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a089,A1F44CE0070E5A07
ActionCard_090,天界,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a090,A1F44CE0070E5A07
ActionCard_091,天界,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a091,A1F44CE0070E5A07
ActionCard_092,天界,Assembly-CSharp.dll / GServer.DM.Init / GActionCard.CellID,a092,A1F44CE0070E5A07
